date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:25:08	31000/31000	---M-Z	200	added ('OK')	text/css		http://10.1.1.1/Nazky/font-awesome.min.css	D:/meusites2/esp32s2pa4host/10.1.1.1/Nazky/font-awesome.min.css	(from http://10.1.1.1/Hakkuraifu.html)
13:25:08	3108/3108	---M-Z	200	added ('OK')	text/css		http://10.1.1.1/Nazky/raleway.css	D:/meusites2/esp32s2pa4host/10.1.1.1/Nazky/raleway.css	(from http://10.1.1.1/Hakkuraifu.html)
13:25:08	5403/5403	---M-Z	200	added ('OK')	text/css		http://10.1.1.1/Nazky/simple-notify.min.css	D:/meusites2/esp32s2pa4host/10.1.1.1/Nazky/simple-notify.min.css	(from http://10.1.1.1/Hakkuraifu.html)
13:25:09	7761/7761	---M-Z	200	added ('OK')	application/javascript		http://10.1.1.1/Nazky/simple-notify.min.js	D:/meusites2/esp32s2pa4host/10.1.1.1/Nazky/simple-notify.min.js	(from http://10.1.1.1/Hakkuraifu.html)
13:25:09	82056/82056	---M-Z	200	added ('OK')	text/html		http://10.1.1.1/Hakkuraifu.html?J=P	D:/meusites2/esp32s2pa4host/10.1.1.1/Hakkuraifu86c0.html	(from http://10.1.1.1/Hakkuraifu.html)
13:25:10	25431/25431	---M-Z	200	added ('OK')	image/jpeg		http://10.1.1.1/HakkuraifuBG.jpg	D:/meusites2/esp32s2pa4host/10.1.1.1/HakkuraifuBG.jpg	(from http://10.1.1.1/Hakkuraifu.html)
13:25:12	40638/40638	---M-Z	200	added ('OK')	application/javascript		http://10.1.1.1/exploitV2.js	D:/meusites2/esp32s2pa4host/10.1.1.1/exploitV2.js	(from http://10.1.1.1/Prb.html)
13:25:13	11790/11790	---M-Z	200	added ('OK')	text/html		http://10.1.1.1/page2.html	D:/meusites2/esp32s2pa4host/10.1.1.1/page2.html	(from http://10.1.1.1/Prb.html)
13:25:14	46818/46818	---M-Z	200	added ('OK')	image/x-icon		http://10.1.1.1/Nazky/Icon.ico	D:/meusites2/esp32s2pa4host/10.1.1.1/Nazky/Icon.ico	(from http://10.1.1.1/Hakkuraifu.html)
13:25:15	5537/5537	---M-Z	200	added ('OK')	image/png		http://10.1.1.1/Prb/img/esp32.png	D:/meusites2/esp32s2pa4host/10.1.1.1/Prb/img/esp32.png	(from http://10.1.1.1/Prb.html)
13:25:19	11579/11579	---M-Z	200	added ('OK')	application/javascript		http://10.1.1.1/payloads/exploit.js	D:/meusites2/esp32s2pa4host/10.1.1.1/payloads/exploit.js	(from http://10.1.1.1/900.html)
13:25:19	3237/3237	---M-Z	200	added ('OK')	application/javascript		http://10.1.1.1/payloads/rop_sleirs.js	D:/meusites2/esp32s2pa4host/10.1.1.1/payloads/rop_sleirs.js	(from http://10.1.1.1/900.html)
13:25:19	79373/79373	---M-Z	200	added ('OK')	image/jpeg		http://10.1.1.1/WolfBG.jpg	D:/meusites2/esp32s2pa4host/10.1.1.1/WolfBG.jpg	(from http://10.1.1.1/900N.html)
13:25:20	54882/54882	---M-Z	200	added ('OK')	application/javascript		http://10.1.1.1/payloads/payload.js	D:/meusites2/esp32s2pa4host/10.1.1.1/payloads/payload.js	(from http://10.1.1.1/900.html)
13:25:20	6159/6159	---M-Z	200	added ('OK')	application/javascript		http://10.1.1.1/payloads/frontend.js	D:/meusites2/esp32s2pa4host/10.1.1.1/payloads/frontend.js	(from http://10.1.1.1/900.html)
13:25:20	288580/288580	---M-Z	200	added ('OK')	application/javascript		http://10.1.1.1/Nazky/jquery-3.6.0.js	D:/meusites2/esp32s2pa4host/10.1.1.1/Nazky/jquery-3.6.0.js	(from http://10.1.1.1/Hakkuraifu.html)
13:25:20	2919/2919	---M-Z	200	added ('OK')	text/css		http://10.1.1.1/layStation%204/style.css	D:/meusites2/esp32s2pa4host/10.1.1.1/layStation%204/style.css	(from http://10.1.1.1/layStation%204/)
13:25:21	1012/1012	---M--	200	added ('OK')	text/html		http://10.1.1.1/layStation%204/payloads.html	D:/meusites2/esp32s2pa4host/10.1.1.1/layStation%204/payloads.html	(from http://10.1.1.1/layStation%204/)
13:25:21	2047/2047	---M-Z	200	added ('OK')	application/javascript		http://10.1.1.1/Xhost/int64.js	D:/meusites2/esp32s2pa4host/10.1.1.1/Xhost/int64.js	(from http://10.1.1.1/kernel.html)
13:25:21	4638/4638	---M-Z	200	added ('OK')	application/javascript		http://10.1.1.1/Xhost/rop.js	D:/meusites2/esp32s2pa4host/10.1.1.1/Xhost/rop.js	(from http://10.1.1.1/kernel.html)
13:25:22	23487/23487	---M-Z	200	added ('OK')	application/javascript		http://10.1.1.1/Xhost/kexploit.js	D:/meusites2/esp32s2pa4host/10.1.1.1/Xhost/kexploit.js	(from http://10.1.1.1/kernel.html)
13:25:22	13044/13044	---M-Z	200	added ('OK')	application/javascript		http://10.1.1.1/Xhost/webkit.js	D:/meusites2/esp32s2pa4host/10.1.1.1/Xhost/webkit.js	(from http://10.1.1.1/kernel.html)
13:25:22	6701/6701	---M-Z	200	added ('OK')	application/javascript		http://10.1.1.1/Xhost/kernel.js	D:/meusites2/esp32s2pa4host/10.1.1.1/Xhost/kernel.js	(from http://10.1.1.1/kernel.html)
13:25:22	0/0	---M--	404	error ('Not%20Found')	text/html		http://10.1.1.1/fonts/fontawesome-webfont.eot?v=4.7.0	D:/meusites2/esp32s2pa4host/10.1.1.1/fonts/fontawesome-webfont.5a3e6e.delayed	(from http://10.1.1.1/Nazky/font-awesome.min.css)
13:25:23	0/0	---M--	404	error ('Not%20Found')	text/html		http://10.1.1.1/fonts/fontawesome-webfont.eot?	D:/meusites2/esp32s2pa4host/10.1.1.1/fonts/fontawesome-webfont.5bd41d.delayed	(from http://10.1.1.1/Nazky/font-awesome.min.css)
13:25:23	0/0	---M--	404	error ('Not%20Found')	text/html		http://10.1.1.1/fonts/fontawesome-webfont.woff2?v=4.7.0	D:/meusites2/esp32s2pa4host/10.1.1.1/fonts/fontawesome-webfont.5c3e6e.delayed	(from http://10.1.1.1/Nazky/font-awesome.min.css)
13:25:23	0/0	---M--	404	error ('Not%20Found')	text/html		http://10.1.1.1/fonts/fontawesome-webfont.woff?v=4.7.0	D:/meusites2/esp32s2pa4host/10.1.1.1/fonts/fontawesome-webfont.5d3e6e.delayed	(from http://10.1.1.1/Nazky/font-awesome.min.css)
13:25:24	0/0	---M--	404	error ('Not%20Found')	text/html		http://10.1.1.1/fonts/fontawesome-webfont.ttf?v=4.7.0	D:/meusites2/esp32s2pa4host/10.1.1.1/fonts/fontawesome-webfont.5e3e6e.delayed	(from http://10.1.1.1/Nazky/font-awesome.min.css)
13:25:24	0/0	---M--	404	error ('Not%20Found')	text/html		http://10.1.1.1/fonts/fontawesome-webfont.svg?v=4.7.0	D:/meusites2/esp32s2pa4host/10.1.1.1/fonts/fontawesome-webfont.5f3e6e.delayed	(from http://10.1.1.1/Nazky/font-awesome.min.css)
13:25:25	3710/3710	---M-Z	200	added ('OK')	image/png		http://10.1.1.1/Prb/img/hen.png	D:/meusites2/esp32s2pa4host/10.1.1.1/Prb/img/hen.png	(from http://10.1.1.1/page2.html)
13:25:25	9127/9127	---M-Z	200	added ('OK')	image/png		http://10.1.1.1/Prb/img/linux.png	D:/meusites2/esp32s2pa4host/10.1.1.1/Prb/img/linux.png	(from http://10.1.1.1/page2.html)
13:25:25	2095/2095	---M-Z	200	added ('OK')	image/png		http://10.1.1.1/Prb/img/app2usb.png	D:/meusites2/esp32s2pa4host/10.1.1.1/Prb/img/app2usb.png	(from http://10.1.1.1/page2.html)
13:25:26	1812/1812	---M-Z	200	added ('OK')	image/png		http://10.1.1.1/Prb/img/dbbackup.png	D:/meusites2/esp32s2pa4host/10.1.1.1/Prb/img/dbbackup.png	(from http://10.1.1.1/page2.html)
13:25:26	4967/4967	---M-Z	200	added ('OK')	image/png		http://10.1.1.1/Prb/img/dumper.png	D:/meusites2/esp32s2pa4host/10.1.1.1/Prb/img/dumper.png	(from http://10.1.1.1/page2.html)
13:25:26	2014/2014	---M-Z	200	added ('OK')	image/png		http://10.1.1.1/Prb/img/dbrestore.png	D:/meusites2/esp32s2pa4host/10.1.1.1/Prb/img/dbrestore.png	(from http://10.1.1.1/page2.html)
13:25:26	2250/2250	---M-Z	200	added ('OK')	image/png		http://10.1.1.1/Prb/img/OrbisToolbox.png	D:/meusites2/esp32s2pa4host/10.1.1.1/Prb/img/OrbisToolbox.png	(from http://10.1.1.1/page2.html)
13:25:26	3161/3161	---M-Z	200	added ('OK')	image/png		http://10.1.1.1/Prb/img/DEXenable.png	D:/meusites2/esp32s2pa4host/10.1.1.1/Prb/img/DEXenable.png	(from http://10.1.1.1/page2.html)
13:25:27	2834/2834	---M-Z	200	added ('OK')	image/png		http://10.1.1.1/Prb/img/DEXdisable.png	D:/meusites2/esp32s2pa4host/10.1.1.1/Prb/img/DEXdisable.png	(from http://10.1.1.1/page2.html)
13:25:28	7802/7802	---M-Z	200	added ('OK')	image/png		http://10.1.1.1/Prb/img/ps4debug.png	D:/meusites2/esp32s2pa4host/10.1.1.1/Prb/img/ps4debug.png	(from http://10.1.1.1/page2.html)
13:25:28	3050/3050	---M-Z	200	added ('OK')	image/png		http://10.1.1.1/Prb/img/binloader.png	D:/meusites2/esp32s2pa4host/10.1.1.1/Prb/img/binloader.png	(from http://10.1.1.1/page2.html)
13:25:28	2610/2610	---M-Z	200	added ('OK')	image/png		http://10.1.1.1/Prb/img/WebRTE.png	D:/meusites2/esp32s2pa4host/10.1.1.1/Prb/img/WebRTE.png	(from http://10.1.1.1/page2.html)
13:25:30	243358/243358	---M-Z	200	added ('OK')	image/png		http://10.1.1.1/Prb/img/FlowBlueCrop.png	D:/meusites2/esp32s2pa4host/10.1.1.1/Prb/img/FlowBlueCrop.png	(from http://10.1.1.1/Prb.html)
13:25:32	50632/50632	---M-Z	200	added ('OK')	text/html		http://10.1.1.1/layStation%204/loader.html	D:/meusites2/esp32s2pa4host/10.1.1.1/layStation%204/loader.html	(from http://10.1.1.1/layStation%204/payloads.html)
13:25:33	0/0	---M--	404	error ('Not%20Found')	text/html		http://10.1.1.1/layStation%204/GET	D:/meusites2/esp32s2pa4host/10.1.1.1/layStation%204/GET.6d.delayed	(from http://10.1.1.1/layStation%204/loader.html)
13:25:33	0/0	---M--	404	error ('Not%20Found')	text/html		http://10.1.1.1/layStation%204/POST	D:/meusites2/esp32s2pa4host/10.1.1.1/layStation%204/POST.6e.delayed	(from http://10.1.1.1/layStation%204/loader.html)
